QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J022827.64-010050.3" 37.11518 -1.0140 3.165 2.466 3.097 nan nan nan
"SDSS J022844.08+000217.0" 37.18372 0.0381 2.721 2.353 2.660 nan nan nan
"SDSS J022922.88-075833.1" 37.34535 -7.9759 3.774 3.592 3.696 nan nan nan
"SDSS J023137.65-072854.4" 37.90688 -7.4818 5.420 4.417 5.313 4.8870 20.75 0.20
"SDSS J023139.52+001758.4" 37.91472 0.2996 2.375 2.307 2.320 nan nan nan
"[HB89] 0229+131" 37.94123 13.3819 2.070 1.767 2.020 nan nan nan
"SDSS J023230.42-072644.2" 38.12678 -7.4456 2.551 2.512 2.493 nan nan nan
"SDSS J023308.30-002605.0" 38.28465 -0.4347 2.484 2.307 2.427 nan nan nan
"SDSS J023359.71+004938.5" 38.49884 0.8274 2.522 2.307 2.464 nan nan nan
"SDSS J023408.97-075107.5" 38.53740 -7.8521 2.540 2.307 2.482 2.3189 20.95 0.15
"SDSS J023423.47-075939.6" 38.59784 -7.9943 2.541 2.456 2.483 nan nan nan
"BR J0234-1806" 38.72975 -18.1024 4.305 2.957 4.218 3.6930 20.40 0.15
nan nan nan nan nan nan 4.2280 19.70 0.10
"SDSS J023903.43-003850.6" 39.76430 -0.6475 3.078 2.307 3.011 nan nan nan
"SDSS J023923.47-081005.1" 39.84782 -8.1681 4.023 3.176 3.941 nan nan nan
"SDSS J023924.48-090138.6" 39.85201 -9.0274 2.472 2.307 2.415 nan nan nan
"SDSS J023933.23-071125.5" 39.88848 -7.1905 3.225 2.512 3.156 nan nan nan
"SDSS J024154.42-004757.5" 40.47678 -0.7994 2.384 2.307 2.328 nan nan nan
"UM 677" 40.48557 -15.2450 2.786 1.928 2.724 nan nan nan
"SDSS J024337.16-002340.1" 40.90488 -0.3945 2.349 2.307 2.294 nan nan nan
"SDSS J024338.46+004433.5" 40.91026 0.7427 2.421 2.307 2.365 nan nan nan
"BRI 0241-0146" 41.00765 -1.5678 4.055 2.743 3.972 nan nan nan
"SDSS J024447.78-081606.1" 41.19914 -8.2683 4.046 2.883 3.963 nan nan nan
"SDSS J024555.83-084025.7" 41.48264 -8.6738 2.572 2.307 2.513 nan nan nan
"SDSS J024614.54+005427.3" 41.56059 0.9076 3.009 2.307 2.943 nan nan nan
"BR 0245-0608" 41.98522 -5.9329 4.233 2.891 4.147 nan nan nan
"PSS J0248+1802" 42.22625 18.0472 4.439 2.858 4.350 nan nan nan
"SDSS J024933.40-083454.4" 42.38922 -8.5818 2.492 2.307 2.435 nan nan nan
"SDSS J025021.76-075749.9" 42.59069 -7.9639 3.344 2.311 3.273 nan nan nan
"UM 678" 42.91830 -22.0074 3.210 2.044 3.141 nan nan nan
"UM 679" 42.95007 -18.2414 3.210 1.871 3.141 nan nan nan
"SDSS J0251-0737" 42.96337 -7.6189 3.078 2.307 3.011 nan nan nan
"SDSS J025345.19-004706.0" 43.43837 -0.7851 2.451 2.307 2.394 nan nan nan
"SDSS J025345.38-003809.6" 43.43914 -0.6360 2.972 2.579 2.907 nan nan nan
"SDSS J025512.28-071107.9" 43.80122 -7.1856 2.820 2.437 2.757 2.6120 20.45 0.15
"LBQS 0252+0136" 43.81350 1.8079 2.470 1.634 2.413 nan nan nan
"SDSS J025518.57+004847.4" 43.82741 0.8132 4.003 2.702 3.921 3.2555 20.90 0.10
nan nan nan nan nan nan 3.4505 19.70 0.10
nan nan nan nan nan nan 3.9145 21.50 0.10
"LBQS 0254+0000" 44.18621 0.2128 2.250 1.634 2.197 nan nan nan
"SDSS J025647.05-085041.3" 44.19605 -8.8448 4.230 3.713 4.144 nan nan nan
"SDSS J025754.18+000506.4" 44.47579 0.0851 2.680 2.572 2.620 nan nan nan
"LBQS 0256-0000" 44.77349 0.1894 3.365 2.307 3.293 nan nan nan
"LBQS 0256-0031" 44.86882 -0.3333 2.000 1.634 1.951 nan nan nan
"LBQS 0258+0210" 45.19178 2.3792 2.520 1.634 2.462 nan nan nan
"SDSS J030047.61-074902.8" 45.19842 -7.8175 2.939 2.621 2.874 nan nan nan
"BR J0301-5537" 45.33979 -55.6199 4.133 2.825 4.049 3.2200 20.30 0.20
"SDSS J030307.91-064457.6" 45.78298 -6.7493 3.041 2.353 2.975 nan nan nan
"LBQS 0301-0035" 45.92103 -0.3894 3.231 2.307 3.162 nan nan nan
"LBQS 0302-0019" 46.20774 -0.1371 3.295 2.307 3.225 nan nan nan
"BR J0307-4945" 46.84533 -49.7633 4.716 3.130 4.622 3.1870 19.80 0.10
nan nan nan nan nan nan 3.3545 20.20 0.10
nan nan nan nan nan nan 3.5910 20.50 0.15
nan nan nan nan nan nan 4.4665 20.60 0.10
"LBQS 0305+0127" 47.01414 1.6555 2.150 1.634 2.098 nan nan nan
"LBQS 0307-0058" 47.51256 -0.7794 2.110 1.634 2.059 nan nan nan
"SDSS J031013.11-065806.2" 47.55466 -6.9684 3.041 2.359 2.975 nan nan nan
"UM 682" 47.61711 -19.1621 2.756 1.673 2.694 nan nan nan
"SDSS J031028.87-005326.1" 47.62030 -0.8906 2.460 2.307 2.403 nan nan nan
"SDSS J031036.84+005521.5" 47.65354 0.9227 3.782 2.825 3.704 3.1142 20.20 0.20
"SDSS J0310-0014" 47.65404 -0.2492 4.658 3.087 4.565 3.4200 20.50 0.20
"BR J0311-1722" 47.81333 -17.3798 4.034 2.562 3.951 3.7340 19.60 0.15
"LBQS 0308+0129" 47.85770 1.6836 2.340 1.739 2.285 nan nan nan
"[HB89] 0308+190" 47.92750 19.2278 2.839 1.673 2.776 nan nan nan
"SDSS J031213.97-062658.8" 48.05826 -6.4497 4.033 2.923 3.950 nan nan nan
"SDSS J031348.33-010433.0" 48.45143 -1.0758 2.468 2.307 2.411 nan nan nan
"SDSS J031452.06+001346.3" 48.71695 0.2295 3.202 2.436 3.133 2.6345 20.15 0.20
"SDSS J031522.08-080043.7" 48.84206 -8.0122 2.894 2.307 2.830 nan nan nan
"SDSS J031609.83+004043.0" 49.04099 0.6786 2.920 2.336 2.856 nan nan nan
"SDSS J031712.23-075850.3" 49.30098 -7.9807 2.899 2.307 2.835 nan nan nan
"[HB89] 0316-203" 49.60507 -20.2052 2.869 1.747 2.806 nan nan nan
"SDSS J031845.17-001845.3" 49.68822 -0.3126 3.223 2.342 3.154 nan nan nan
"SDSS J031906.71-010928.6" 49.77797 -1.1580 3.139 2.752 3.071 nan nan nan
"SDSS J0322-0558" 50.60872 -5.9736 3.957 3.491 3.876 3.7630 20.20 0.20
"BR J0324-2918" 51.18456 -29.3059 4.622 2.900 4.530 nan nan nan
"SDSS J032608.12-003340.0" 51.53385 -0.5611 4.158 3.108 4.073 nan nan nan
"SDSS J032740.66-065147.3" 51.91946 -6.8632 3.015 2.355 2.949 nan nan nan
"SDSS J033029.75-005918.1" 52.62397 -0.9884 2.747 2.407 2.686 nan nan nan
"[HB89] 0329-255" 52.78717 -25.4120 2.689 1.661 2.628 nan nan nan
"SDSS J033119.66-074143.1" 52.83194 -7.6953 4.734 3.838 4.638 nan nan nan
"SDSS J033224.95-062116.0" 53.10396 -6.3545 2.760 2.390 2.698 nan nan nan
"SDSS J033406.98-063406.4" 53.52910 -6.5685 3.966 3.001 3.885 nan nan nan
"BR 0331-1622" 53.55604 -16.2014 4.380 2.868 4.292 3.5600 20.60 0.20
"UM 683" 54.11208 -20.3278 3.132 2.057 3.064 nan nan nan
"SDSS J033721.73-070901.7" 54.34057 -7.1505 2.641 2.428 2.581 nan nan nan
"SDSS J033829.30+002156.2" 54.62211 0.3656 5.040 4.096 4.939 nan nan nan
"SDSS J0338-0005" 54.72824 -0.0892 3.050 2.307 2.984 nan nan nan
"PKS 0336-017" 54.75413 -1.5549 3.200 2.109 3.131 3.0619 21.20 0.20
"SDSS J033957.96-065220.7" 54.99152 -6.8724 2.833 2.511 2.770 nan nan nan
"SDSS J034024.57-051909.2" 55.10243 -5.3193 2.340 2.307 2.285 nan nan nan
"SDSS J034300.87-062229.9" 55.75367 -6.3750 3.623 3.207 3.547 3.5111 20.15 0.20
"SDSS J034402.85-065300.6" 56.01188 -6.8835 3.957 2.820 3.876 nan nan nan
"SDSS J034435.96-001527.5" 56.14985 -0.2577 2.345 2.307 2.290 nan nan nan
"SDSS J034502.22-063622.7" 56.25927 -6.6063 2.484 2.307 2.427 nan nan nan
"[HB89] 0345+015" 57.00952 1.6551 3.638 2.699 3.562 nan nan nan
"SDSS J034930.23-063925.1" 57.37603 -6.6570 2.541 2.358 2.483 nan nan nan
"[HB89] 0347-383" 57.43201 -38.1754 3.230 2.044 3.161 3.0244 20.80 0.20
"[HB89] 0351-390" 58.33039 -38.9323 3.010 1.632 2.944 nan nan nan
"SDSS J035329.87-004327.2" 58.37448 -0.7242 3.677 2.951 3.600 nan nan nan
"BR 0351-1034" 58.44544 -10.4220 4.351 3.090 4.263 nan nan nan
"UM 684" 58.52330 -27.4056 2.823 1.673 2.760 nan nan nan
"BR 0353-3820" 58.77037 -38.1952 4.545 3.030 4.454 nan nan nan
"SDSS J040241.42-064137.9" 60.67260 -6.6939 2.432 2.307 2.376 nan nan nan
"BR 0401-1711" 60.98613 -17.0562 4.227 2.858 4.141 nan nan nan
"BR J0415-4357" 63.81321 -43.9647 4.073 2.800 3.990 3.8080 20.50 0.20
"BR 0418-5723" 64.96225 -57.2703 4.461 2.820 4.371 nan nan nan
"[HB89] 0420-388 NED01" 65.56163 -38.7479 3.123 2.094 3.055 nan nan nan
"[HB89] 0420+003" 65.67466 0.5056 2.918 1.673 2.854 nan nan nan
"BR 0424-2209" 66.54304 -22.0381 4.329 2.751 4.242 2.9825 21.40 0.15
nan nan nan nan nan nan 3.1590 19.50 0.10
nan nan nan nan nan nan 3.6070 19.80 0.15
"H 0428-1342" 67.66154 -13.5962 3.244 1.965 3.174 nan nan nan
"H 0449-1325" 72.92738 -13.3425 3.097 2.006 3.030 2.0520 20.40 0.20
"PSS J0452+0355" 73.21458 3.9325 4.395 3.115 4.306 nan nan nan
"[HB89] 0457+024" 74.96688 2.4920 2.380 1.645 2.325 nan nan nan
"[HB89] 0458-020" 75.30337 -1.9873 2.290 1.960 2.236 2.0399 21.70 0.20
"[HB89] 0504+030" 76.90194 3.1312 2.460 1.803 2.403 nan nan nan
"BR 0523-3345" 81.27575 -33.7182 4.385 2.817 4.297 nan nan nan
"BR J0529-3526" 82.31621 -35.4343 4.418 2.817 4.329 3.1935 19.50 0.10
nan nan nan nan nan nan 3.5720 20.20 0.15
"BR J0529-3552" 82.33671 -35.8761 4.172 2.825 4.087 3.6840 20.40 0.15
nan nan nan nan nan nan 4.0670 19.70 0.15
"[HB89] 0528-250" 82.53318 -25.0583 2.779 1.961 2.717 2.1404 21.00 0.20
"[HB89] 0552+398" 88.87836 39.8137 2.360 1.644 2.305 nan nan nan
"[HB89] 0636+680" 100.51774 67.9766 3.178 2.019 3.109 nan nan nan
"[HB89] 0642+449" 101.63344 44.8546 3.408 2.192 3.336 nan nan nan
"BR J0714-6455" 108.63071 -64.9196 4.464 2.776 4.374 2.8810 19.70 0.15
nan nan nan nan nan nan 3.0700 19.60 0.15
"SDSS J072117.43+415114.6" 110.32267 41.8541 2.467 2.307 2.410 nan nan nan
"SDSS J072321.95+382440.9" 110.84148 38.4114 3.099 2.915 3.032 nan nan nan
"SDSS J072534.23+431335.0" 111.39266 43.2264 2.449 2.307 2.392 nan nan nan
"SDSS J072554.52+392243.3" 111.47717 39.3787 3.248 2.463 3.178 nan nan nan
"SDSS J072559.05+432303.8" 111.49606 43.3844 4.019 3.055 3.937 nan nan nan
"SDSS J072609.12+385114.4" 111.53801 38.8540 2.474 2.307 2.417 nan nan nan
"SDSS J072737.89+411424.6" 111.90791 41.2402 4.283 3.742 4.196 nan nan nan
"SDSS J072949.00+365729.3" 112.45422 36.9582 2.490 2.334 2.433 nan nan nan
"SDSS J073002.80+434003.0" 112.51173 43.6675 2.937 2.307 2.872 nan nan nan
"SDSS J073006.47+381400.3" 112.52699 38.2334 3.086 2.936 3.019 nan nan nan
"SDSS J073103.12+445949.4" 112.76302 44.9971 4.998 4.061 4.898 nan nan nan
"SDSS J073146.99+364346.3" 112.94583 36.7295 4.033 2.994 3.950 3.5913 20.80 0.20
"SDSS J073149.50+285448.6" 112.95631 28.9136 3.676 2.625 3.599 2.6859 20.55 0.15
"SDSS J073231.41+385027.2" 113.13089 38.8409 3.052 2.745 2.986 nan nan nan
"SDSS J073232.79+435500.4" 113.13663 43.9168 3.435 2.483 3.362 nan nan nan
"B2 0730+27A" 113.33538 27.3510 2.937 2.332 2.872 2.7266 20.05 0.20
"[HB89] 0731+653" 114.08875 65.2200 3.038 2.019 2.972 nan nan nan
"SDSS J073634.60+402603.4" 114.14417 40.4343 3.977 3.096 3.895 3.1284 20.25 0.20
nan nan nan nan nan nan 3.8482 20.20 0.20
"SDSS J073706.77+430903.9" 114.27823 43.1511 3.013 2.605 2.947 nan nan nan
"SDSS J073718.16+323631.4" 114.32568 32.6088 3.017 2.307 2.951 2.8924 20.30 0.15
"SDSS J073728.62+284655.0" 114.36926 28.7820 2.567 2.307 2.508 nan nan nan
"SDSS J073735.50+280927.5" 114.39793 28.1577 3.004 2.307 2.938 2.8797 20.30 0.15
"SDSS J073746.98+242458.1" 114.44575 24.4162 3.590 3.135 3.515 nan nan nan
"SDSS J073748.60+263205.0" 114.45254 26.5347 4.589 3.568 4.497 nan nan nan
"SDSS J073813.18+271038.2" 114.55495 27.1773 2.442 2.307 2.386 nan nan nan
"SDSS J073816.91+314437.0" 114.57047 31.7436 2.013 2.533 1.964 nan nan nan
"SDSS J073820.28+412716.0" 114.58455 41.4544 3.033 2.307 2.967 nan nan nan
"SDSS J073912.62+410254.1" 114.80261 41.0484 2.994 2.442 2.928 nan nan nan
"SDSS J073912.74+282856.0" 114.80312 28.4822 3.242 2.807 3.172 nan nan nan
"SDSS J073932.63+294249.5" 114.88600 29.7138 2.494 2.312 2.437 nan nan nan
"SDSS J073934.66+231450.6" 114.89445 23.2474 2.869 2.496 2.806 nan nan nan
"SDSS J073947.17+445236.7" 114.94656 44.8769 3.575 2.650 3.500 nan nan nan
"SDSS J073952.95+221307.4" 114.97065 22.2187 3.739 2.812 3.661 nan nan nan
"SDSS J074005.66+242609.6" 115.02363 24.4360 3.778 3.347 3.700 nan nan nan
"SDSS J074026.97+224034.5" 115.11241 22.6763 3.666 2.986 3.589 nan nan nan
"SDSS J074034.41+441002.8" 115.14341 44.1675 2.412 2.307 2.356 nan nan nan
"SDSS J074037.08+491845.1" 115.15453 49.3126 3.767 3.083 3.689 nan nan nan
"SDSS J074131.39+212432.9" 115.38080 21.4092 2.662 2.307 2.602 nan nan nan
"SDSS J074134.46+381559.3" 115.39363 38.2665 2.372 2.307 2.317 nan nan nan
"SDSS J074141.91+311810.7" 115.42467 31.3030 2.415 2.307 2.359 nan nan nan
"SDSS J074144.48+335637.0" 115.43535 33.9436 3.819 3.005 3.740 nan nan nan
"SDSS J074145.00+215932.8" 115.43753 21.9925 3.036 2.623 2.970 nan nan nan
"SDSS J074154.59+341252.1" 115.47749 34.2145 3.909 2.843 3.828 nan nan nan
"SDSS J074247.94+422844.6" 115.69978 42.4791 3.799 3.619 3.720 nan nan nan
"SDSS J074318.01+472514.0" 115.82508 47.4206 3.070 2.371 3.003 2.9590 20.85 0.15
"SDSS J074354.28+464130.2" 115.97620 46.6917 4.367 4.186 4.279 nan nan nan
"SDSS J074359.72+481952.7" 115.99886 48.3313 2.440 2.307 2.384 nan nan nan
"SDSS J074429.82+251037.4" 116.12426 25.1771 2.458 2.307 2.401 nan nan nan
"SDSS J074437.52+205900.1" 116.15635 20.9834 2.680 2.307 2.620 2.5341 20.80 0.15
"SDSS J074442.12+375521.5" 116.17553 37.9226 2.389 2.307 2.333 nan nan nan
"SDSS J074444.14+502959.1" 116.18392 50.4998 3.033 2.699 2.967 nan nan nan
"SDSS J074500.40+193618.8" 116.25170 19.6052 3.388 2.530 3.316 nan nan nan
"SDSS J074500.46+341731.0" 116.25196 34.2920 3.711 2.614 3.634 2.9946 20.30 0.15
nan nan nan nan nan nan 3.2283 21.10 0.15
"SDSS J074503.25+214727.2" 116.26356 21.7909 3.081 2.307 3.014 nan nan nan
"SDSS J074517.73+223157.7" 116.32392 22.5327 3.517 3.069 3.443 nan nan nan
"SDSS J074520.21+415725.3" 116.33422 41.9571 2.855 2.307 2.792 nan nan nan
"2MASSi J0745217+473436" 116.34078 47.5767 3.221 2.307 3.152 3.0179 20.40 0.15
"SDSS J074545.97+471014.3" 116.44155 47.1707 2.948 2.544 2.883 nan nan nan
"SDSS J074549.94+373225.2" 116.45813 37.5403 3.003 2.858 2.937 nan nan nan
"B2 0743+25" 116.60781 25.8173 2.979 2.353 2.914 nan nan nan
"SDSS J074626.95+322929.4" 116.61233 32.4915 3.047 2.348 2.981 nan nan nan
"SDSS J074628.65+344248.3" 116.61941 34.7134 2.743 2.360 2.682 nan nan nan
"SDSS J074640.16+344624.7" 116.66737 34.7735 4.009 2.903 3.927 nan nan nan
"SDSS J074643.26+210854.9" 116.68027 21.1486 3.482 3.024 3.408 nan nan nan
"SDSS J074644.53+395749.7" 116.68560 39.9638 3.769 2.872 3.691 3.4447 20.15 0.20
"SDSS J074711.15+273903.3" 116.79647 27.6509 4.133 2.710 4.049 2.9185 19.50 0.10
nan nan nan nan nan nan 3.4235 20.90 0.10
nan nan nan nan nan nan 3.9010 20.60 0.15
"SDSS J074713.25+175948.2" 116.80524 17.9967 3.747 3.269 3.669 3.5739 20.45 0.20
"SDSS J074724.99+482236.0" 116.85414 48.3767 2.380 2.307 2.325 nan nan nan
"SDSS J074732.63+244747.0" 116.88599 24.7964 3.112 2.415 3.045 nan nan nan
"SDSS J074743.65+500027.6" 116.93196 50.0077 3.377 2.681 3.305 nan nan nan
"SDSS J074746.77+345819.2" 116.94489 34.9721 3.153 2.307 3.085 nan nan nan
"SDSS J074749.74+443417.0" 116.95729 44.5714 4.435 3.107 4.346 3.7620 20.00 0.20
nan nan nan nan nan nan 4.0190 21.10 0.15
"SDSS J074758.56+293315.9" 116.99402 29.5544 3.145 3.055 3.077 nan nan nan
"SDSS J074759.97+190019.4" 116.99991 19.0054 3.344 2.976 3.273 nan nan nan
"SDSS J074815.54+225838.0" 117.06477 22.9772 3.148 2.752 3.080 nan nan nan
"SDSS J074823.85+332051.2" 117.09941 33.3476 2.983 2.575 2.918 nan nan nan
"SDSS J074834.05+474224.2" 117.14189 47.7068 2.490 2.307 2.433 nan nan nan
"SDSS J074851.16+343359.1" 117.21319 34.5664 3.330 2.331 3.259 nan nan nan
"SDSS J074856.03+222953.1" 117.23348 22.4981 3.623 2.870 3.547 2.9818 20.40 0.20
"SDSS J074859.02+382231.9" 117.24594 38.3756 2.583 2.307 2.524 nan nan nan
"SDSS J074914.13+305605.8" 117.30889 30.9350 3.436 2.396 3.363 nan nan nan
"SDSS J074916.67+264740.8" 117.31948 26.7947 3.380 2.357 3.308 2.8809 20.45 0.15
"SDSS J074926.83+414631.5" 117.36180 41.7754 3.739 2.951 3.661 nan nan nan
"FBQS J074927.9+415242" 117.36628 41.8784 3.111 2.307 3.044 nan nan nan
"SDSS J074931.89+153055.8" 117.38292 15.5155 2.536 2.307 2.478 nan nan nan
"SDSS J074934.44+172305.8" 117.39352 17.3850 3.244 2.524 3.174 nan nan nan
"SDSS J074939.01+433217.6" 117.41257 43.5382 3.142 2.307 3.074 nan nan nan
"SDSS J075003.88+415923.0" 117.51618 41.9897 2.403 2.364 2.347 nan nan nan
"SDSS J075006.62+491834.1" 117.52760 49.3095 3.582 2.799 3.507 nan nan nan
"SDSS J075017.49+405825.3" 117.57290 40.9737 3.863 2.883 3.783 nan nan nan
"SDSS J075018.22+263002.0" 117.57593 26.5006 2.436 2.307 2.380 nan nan nan
"SDSS J075020.46+173728.9" 117.58526 17.6247 2.417 2.363 2.361 nan nan nan
"SDSS J075032.56+444526.1" 117.63568 44.7573 3.358 3.030 3.287 3.1888 20.25 0.20
"SDSS J075037.01+313848.1" 117.65423 31.6467 2.399 2.307 2.343 nan nan nan
"SDSS J075047.95+144322.1" 117.69983 14.7228 3.133 2.307 3.065 nan nan nan
"SDSS J075051.53+370920.0" 117.71472 37.1556 3.229 2.415 3.160 nan nan nan
"SDSS J075052.91+372044.0" 117.72049 37.3456 2.562 2.307 2.504 nan nan nan
"SDSS J075103.95+424211.5" 117.76647 42.7032 4.163 2.973 4.078 nan nan nan
"SDSS J075104.41+385404.0" 117.76839 38.9011 2.502 2.307 2.445 nan nan nan
"SDSS J075113.04+312038.0" 117.80434 31.3439 3.761 2.931 3.683 3.2237 20.45 0.15
nan nan nan nan nan nan 3.3840 20.45 0.20
"SDSS J075117.58+513739.1" 117.82328 51.6275 2.658 2.430 2.598 nan nan nan
"SDSS J075154.08+264352.5" 117.97538 26.7313 3.800 3.058 3.721 nan nan nan
"SDSS J075154.63+163652.4" 117.97763 16.6146 3.368 2.385 3.296 nan nan nan
"SDSS J075155.09+451619.7" 117.97959 45.2721 3.340 2.461 3.269 2.6812 20.55 0.20
nan nan nan nan nan nan 2.9291 20.35 0.20
nan nan nan nan nan nan 3.0457 20.45 0.20
"SDSS J075158.64+424522.9" 117.99438 42.7564 2.453 2.307 2.396 nan nan nan
"SDSS J075207.23+243201.9" 118.03013 24.5339 2.433 2.307 2.377 nan nan nan
"SDSS J075214.14+221356.9" 118.05892 22.2325 2.941 2.537 2.876 2.6575 21.40 0.15
"SDSS J075238.60+280515.9" 118.16086 28.0878 3.409 2.986 3.337 nan nan nan
"SDSS J075254.75+280337.0" 118.22816 28.0603 2.382 2.307 2.327 nan nan nan
"B3 0749+426" 118.26391 42.5252 3.589 2.324 3.514 nan nan nan
"SDSS J075303.87+284715.5" 118.26616 28.7877 2.682 2.342 2.622 2.3925 20.45 0.20
"SDSS J075313.81+330327.6" 118.30758 33.0577 3.962 3.014 3.881 nan nan nan
"SDSS J075320.67+433832.8" 118.33616 43.6425 3.806 3.011 3.727 3.6116 20.20 0.20
"2MASSi J0753261+403039" 118.35885 40.5107 2.935 2.307 2.870 nan nan nan
"SDSS J075327.45+272957.1" 118.36441 27.4992 3.348 2.413 3.277 nan nan nan
"SDSS J075334.52+512343.3" 118.39387 51.3954 2.427 2.307 2.371 nan nan nan
"SDSS J075347.41+281805.1" 118.44757 28.3014 4.031 3.063 3.948 nan nan nan
"SDSS J075354.94+193639.4" 118.47895 19.6110 3.826 3.045 3.747 nan nan nan
"SDSS J075357.85+424100.3" 118.49104 42.6835 3.203 2.601 3.134 nan nan nan
"SDSS J075442.10+323240.0" 118.67544 32.5444 2.342 2.307 2.287 nan nan nan
"SDSS J075443.02+234941.2" 118.67928 23.8281 3.424 2.584 3.351 nan nan nan
"SDSS J075509.98+233210.0" 118.79159 23.5361 3.657 2.967 3.581 nan nan nan
"SDSS J075510.30+202351.7" 118.79293 20.3977 2.878 2.307 2.814 nan nan nan
"SDSS J075515.93+154216.6" 118.81639 15.7046 3.298 3.237 3.227 nan nan nan
"SDSS J075521.96+432424.0" 118.84151 43.4067 3.167 2.436 3.099 nan nan nan
"SDSS J075526.94+360151.1" 118.86228 36.0309 2.382 2.307 2.327 nan nan nan
"SDSS J075535.60+405802.9" 118.89839 40.9675 2.417 2.307 2.361 nan nan nan
"SDSS J075540.14+183500.7" 118.91728 18.5836 3.198 2.481 3.129 nan nan nan
"PC 0751+5623" 118.93329 56.2522 4.281 3.526 4.194 nan nan nan
"SDSS J075545.60+405643.4" 118.94002 40.9455 2.343 2.307 2.288 nan nan nan
"SDSS J075550.45+510621.2" 118.96023 51.1059 2.816 2.307 2.753 nan nan nan
"SDSS J075552.41+134551.1" 118.96840 13.7642 3.663 2.085 3.587 2.4855 20.00 0.15
"SDSS J075552.48+491738.4" 118.96876 49.2939 3.605 3.148 3.529 nan nan nan
"SDSS J0756+4104" 119.07559 41.0691 5.090 3.551 4.990 4.3600 20.15 0.10
"SDSS J075620.42+354126.2" 119.08512 35.6906 3.021 2.351 2.955 nan nan nan
"SDSS J075630.59+483228.7" 119.12749 48.5413 2.365 2.307 2.310 nan nan nan
"SDSS J075635.22+434124.8" 119.14678 43.6902 2.354 2.307 2.299 nan nan nan
"SDSS J075636.73+164850.7" 119.15306 16.8141 2.867 2.471 2.804 nan nan nan
"SDSS J075647.86+390830.5" 119.19947 39.1418 3.054 2.655 2.987 nan nan nan
"SDSS J075658.38+193253.3" 119.24328 19.5482 3.349 2.625 3.278 nan nan nan
"SDSS J075710.36+362301.5" 119.29320 36.3838 2.994 2.307 2.928 nan nan nan
"SDSS J075715.33+213333.7" 119.31391 21.5594 2.974 2.581 2.909 nan nan nan
"SDSS J075724.01+265846.9" 119.35007 26.9797 2.402 2.307 2.346 nan nan nan
"SDSS J075732.89+441424.6" 119.38705 44.2402 4.170 3.088 4.085 nan nan nan
"SDSS J075741.13+153838.7" 119.42142 15.6441 2.675 2.619 2.615 nan nan nan
"SDSS J075757.12+191021.5" 119.48801 19.1727 2.908 2.344 2.844 nan nan nan
"SDSS J075819.70+202300.9" 119.58211 20.3836 3.748 2.677 3.670 nan nan nan
"SDSS J075847.84+483210.3" 119.69936 48.5362 4.476 3.583 4.386 nan nan nan
"SDSS J075859.81+165811.8" 119.74923 16.9700 3.442 2.514 3.369 nan nan nan
"SDSS J075901.28+284703.4" 119.75537 28.7843 2.855 2.461 2.792 nan nan nan
"SDSS J075907.57+180054.7" 119.78158 18.0152 4.820 3.911 4.723 4.6580 20.95 0.20
"SDSS J075910.07+383642.8" 119.79199 38.6119 3.989 2.774 3.907 nan nan nan
"SDSS J075929.44+201105.0" 119.87267 20.1847 3.142 2.400 3.074 nan nan nan
"SDSS J075947.38+410636.9" 119.94747 41.1103 3.781 2.970 3.703 nan nan nan
"SDSS J075948.31+510538.8" 119.95135 51.0942 2.365 2.307 2.310 nan nan nan
"SDSS J075951.83+312941.1" 119.96599 31.4948 3.166 2.307 3.098 3.0335 20.50 0.15
"SDSS J080005.95+213137.6" 120.02482 21.5271 3.996 3.523 3.914 nan nan nan
"SDSS J080014.89+272036.0" 120.06209 27.3434 3.786 2.747 3.707 nan nan nan
"SDSS J080018.82+522725.2" 120.07845 52.4570 3.190 2.783 3.121 nan nan nan
"SDSS J080023.01+305101.1" 120.09595 30.8504 4.676 3.789 4.581 4.0980 21.05 0.20
"SDSS J080025.10+441723.1" 120.10462 44.2898 3.555 2.347 3.480 nan nan nan
"SDSS J080037.12+290723.6" 120.15469 29.1232 3.804 3.024 3.725 nan nan nan
"SDSS J080050.27+192058.9" 120.20950 19.3497 3.948 2.726 3.867 3.4290 20.00 0.10
"SDSS J080055.45+212547.9" 120.23107 21.4300 2.493 2.307 2.436 nan nan nan
"SDSS J080105.01+345006.7" 120.27090 34.8352 2.858 2.528 2.795 nan nan nan
"2MASSi J0801178+521034" 120.32414 52.1763 3.235 2.307 3.166 nan nan nan
"SDSS J080131.31+223055.5" 120.38049 22.5154 2.401 2.307 2.345 nan nan nan
"SDSS J080132.02+192317.5" 120.38342 19.3882 2.542 2.307 2.484 nan nan nan
"B3 0758+475" 120.40701 47.4245 3.273 2.625 3.203 nan nan nan
"SDSS J080144.54+273549.5" 120.43559 27.5971 3.121 2.307 3.053 2.9462 20.65 0.15
"SDSS J080205.33+185714.8" 120.52222 18.9541 2.416 2.307 2.360 nan nan nan
"SDSS J080240.49+245732.6" 120.66871 24.9591 2.878 2.307 2.814 nan nan nan
"SDSS J080245.86+531456.2" 120.69112 53.2490 3.829 3.049 3.750 nan nan nan
"B2 0759+29" 120.70175 29.2929 2.379 2.307 2.324 nan nan nan
"SDSS J080300.49+500331.6" 120.75208 50.0588 3.775 3.587 3.697 nan nan nan
